종목코드,종목명,시장구분,업종,현재가,시가총액,상장주식수,PER,PBR,EPS,BPS,ROE프록시,W52고가,W52저가,선행PER,선행EPS,직전EPS,선행EPS_증가율%,추정매출,추정영업이익,추정순이익,추정매출YoY,추정영업이익YoY,직전영업이익,직전순이익,직전매출,실현영업이익YoY,실현순이익YoY,순이익경로_우상향,연환산영업이익,컨센목표가,상승여력%,브로커수,브로커최근의견일,컨센투자의견,분기영업이익YoY,분기매출YoY,분기결산일,영업이익증가율_연간,영업이익증가율_3년평균,추정연도,실적연도,추정기준일,투자의견,추정이상,_price_ok,_est_ok,_opinion_ok,_growth_ok
005930,삼성전자,KOSPI,전기·전자,263000.0,15375713.0,5846278608.0,40.07,4.11,6564.0,63997.0,10.256730784255511,374500.0,61800.0,5.928537454606112,44361.700000000004,6605.0,571.6381529144588,7079979.0,3767778.0,2937723.0,112.2,764.1,436011.0,442610.0,3336059.0,33.2,31.6,True,3767778.0,440625.0,67.53802281368822,22,20260708,매수,756.1,69.16,202603,33.23,115.57,2026.12E,2025.12,20260630,매수,True,True,True,True,True
000660,SK하이닉스,KOSPI,전기·전자,1913000.0,13633996.0,712702365.0,32.45,10.96,58955.0,174539.0,33.77755114902686,2987000.0,245000.0,6.0571135463402435,315827.0,62044.0,409.03713493649667,3476916.0,2688234.0,2180128.0,257.90000000000003,469.5,472063.0,429193.0,971467.0,101.2,116.9,True,2688234.0,2880702.0,50.585572399372715,22,20260707,BUY,405.48,198.07,202603,101.16,33.72,2026.12E,2025.12,20260630,매수,True,True,True,True,True
402340,SK스퀘어,KOSPI,금융,1190000.0,1570305.0,131958386.0,17.9,5.68,66468.0,209564.0,31.717279685442158,2189000.0,130900.0,,,,,,,,,,,,,,,False,,1712000.0,43.865546218487395,5,20260713,BUY,400.48,318.8,202603,124.39,41.46,,,,,False,True,True,True,True
009150,삼성전기,KOSPI,전기·전자,1260000.0,941141.0,74693696.0,138.48,9.98,9099.0,126302.0,7.204161454292094,2417000.0,132500.0,85.18405841192576,14791.5,9345.0,58.282504012841095,134052.0,14755.0,11173.0,18.5,61.6,9133.0,7061.0,113145.0,24.3,4.0,True,14755.0,1861344.0,47.72571428571429,19,20260708,BUY,39.9,17.18,202603,24.26,-2.88,2026.12E,2025.12,20260407,매수,False,True,True,True,True
005380,현대차,KOSPI,운송장비·부품,424500.0,869197.0,204757766.0,12.01,0.97,35331.0,439541.0,8.038157987537,783000.0,204500.0,12.046551621389225,35238.3,36313.1,-2.9598134006735743,1957921.0,113137.0,91668.0,5.1000000000000005,-1.3,114679.0,94460.0,1862545.0,-19.5,-24.6,False,113137.0,834074.0,96.48386336866902,18,20260710,BUY,-30.79,3.45,202603,-19.47,9.54,2026.12E,2025.12,20260622,매수,False,True,True,True,True
373220,LG에너지솔루션,KOSPI,전기·전자,322000.0,753480.0,234000000.0,-70.23,3.73,-4585.0,86391.0,-5.307265803150791,527000.0,309500.0,-5951.940850277264,-54.1,-4585.0,98.82006543075245,309381.0,13640.0,-127.0,30.700000000000003,1.3,13461.0,-10728.0,236718.0,134.0,5.300000000000001,True,13640.0,551174.0,71.172049689441,17,20260708,BUY,0.0,-2.5,202603,0.0,7.49,2026.12E,2025.12,20260504,매수,False,True,True,True,True
032830,삼성생명,KOSPI,보험,317000.0,634000.0,200000000.0,27.53,0.91,11514.0,349293.0,3.296372959091651,516500.0,117000.0,,,,,,,,,,,,,,,False,,370891.0,17.000315457413247,14,20260708,HOLD,80.09,75.03,202603,3.23,5.81,,,20260223,매수,False,True,True,True,True
028260,삼성물산,KOSPI,유통,354000.0,574073.0,162167581.0,24.99,1.16,14165.0,305019.0,4.643972998403378,565000.0,155300.0,,,,,,,,,,,,,,,False,,537353.0,51.79463276836158,10,20260623,매수,-0.56,7.49,202603,10.37,9.28,,,,,False,True,True,True,True
207940,삼성바이오로직스,KOSPI,제약,1368000.0,633260.0,46290951.0,51.48,8.49,26572.0,161142.0,16.48980402378027,1987000.0,982000.0,33.284104650285755,41100.700000000004,23671.0,73.63313759452497,53002.0,24051.0,19005.0,16.3,16.3,20681.0,15862.0,45570.0,56.5,50.900000000000006,True,24051.0,1975000.0,44.37134502923977,7,20260701,매수,34.98,25.77,202603,56.6,29.49,2026.12E,2025.12,20260629,매수,False,True,True,True,True
105560,KB금융,KOSPI,금융,180000.0,638438.0,354687734.0,11.91,1.09,15116.0,164669.0,9.179627009333876,194500.0,105800.0,,,,,297666.0,91724.0,64301.0,2.1,7.7,85177.0,58332.0,291561.0,5.9,14.9,True,91724.0,213111.0,18.395,14,20260713,BUY,18.95,55.3,202603,5.87,17.53,2026.12E,2025.12,20260424,매수,False,True,True,True,True
000270,기아,KOSPI,운송장비·부품,139600.0,545017.0,390412998.0,7.3,0.89,19111.0,157456.0,12.13735900823087,212500.0,97600.0,6.768419215328821,20625.2,19399.100000000002,6.320396307045165,1217389.0,95469.0,79908.0,6.7,5.2,90781.0,75610.0,1141409.0,-28.3,-22.6,True,95469.0,238235.0,70.6554441260745,12,20260710,BUY,-26.71,5.3,202603,-28.33,13.76,2026.12E,2025.12,20260622,매수,False,True,True,True,True
329180,HD현대중공업,KOSPI,운송장비·부품,466000.0,489119.0,104961225.0,29.68,5.23,15702.0,89025.0,17.637742207245154,765000.0,381500.0,15.71632372928801,29650.7,15702.0,88.83390650872501,243142.0,38970.0,31113.0,38.300000000000004,91.30000000000001,20375.0,14155.0,175806.0,188.9,127.7,True,38970.0,923826.0,98.2459227467811,18,20260710,BUY,108.74,54.78,202603,188.92,161.23,2026.12E,2025.12,20260624,매수,True,True,True,True,True
055550,신한지주,KOSPI,금융,106500.0,505507.0,474654361.0,10.56,0.88,10085.0,121468.0,8.30259821516778,113300.0,63600.0,,,,,298881.0,76740.0,55456.0,6.800000000000001,9.3,70234.0,49716.0,279888.0,8.700000000000001,11.700000000000001,True,76740.0,132353.0,24.27511737089202,14,20260713,BUY,10.81,37.0,202603,8.74,5.97,2026.12E,2025.12,20260424,매수,False,True,True,True,True
012450,한화에어로스페이스,KOSPI,운송장비·부품,872000.0,449633.0,51563401.0,30.52,4.63,28573.0,188244.0,15.178704234929135,1655000.0,791000.0,22.08254617835201,39488.200000000004,28530.0,38.4093936207501,309891.0,41608.0,20316.0,16.1,34.7,30893.0,14050.0,267029.0,78.4,-38.900000000000006,True,41608.0,1755000.0,101.26146788990826,13,20260713,BUY,20.56,4.87,202603,78.38,106.08,2026.12E,2025.12,20260504,매수,False,True,True,True,True
034020,두산에너빌리티,KOSPI,기계·장비,70900.0,454158.0,640561146.0,537.12,5.83,132.0,12156.0,1.085883514313919,139200.0,51100.0,535.9032501889644,132.3,174.0,-23.965517241379303,170579.0,7627.0,848.0,5.1000000000000005,-25.0,10176.0,1114.0,162331.0,-30.6,100.30000000000001,False,7627.0,148562.0,109.5373765867419,13,20260610,BUY,63.9,13.67,202603,-25.05,-7.68,2025.12E,2024.12,20260401,매수,False,True,True,True,True
034730,SK,KOSPI,금융,562000.0,407465.0,72502703.0,25.71,1.23,21863.0,457231.0,4.781609295957622,883000.0,176900.0,6.289244831796273,89358.90000000001,29000.0,208.1341379310345,1394536.0,74447.0,49080.0,13.700000000000001,309.40000000000003,18185.0,15975.0,1227033.0,-24.1,-223.60000000000002,False,74447.0,805867.0,43.39270462633452,11,20260707,BUY,1301.07,18.94,202603,-47.72,-48.73,2026.12E,2025.12,20260518,매수,True,True,True,True,True
012330,현대모비스,KOSPI,운송장비·부품,466000.0,422814.0,90732583.0,11.74,0.85,39682.0,551325.0,7.197569491679137,822000.0,279000.0,11.549547807940437,40347.9,40356.700000000004,-0.021805549016651285,620560.0,35266.0,36550.0,1.5,5.0,33575.0,36558.0,611181.0,9.200000000000001,-9.9,False,35266.0,825000.0,77.03862660944206,18,20260710,BUY,3.34,5.48,202603,9.24,18.8,2026.12E,2025.12,20260622,매수,False,True,True,True,True
068270,셀트리온,KOSPI,제약,172800.0,401853.0,232553706.0,40.77,2.31,4238.0,74822.0,5.664109486514661,251000.0,158500.0,23.928878056886475,7221.400000000001,4668.0,54.700085689802926,52652.0,18171.0,15750.0,26.5,55.5,11685.0,10296.0,41625.0,137.5,143.6,True,18171.0,276000.0,59.72222222222222,5,20260706,매수,115.41,36.0,202603,137.49,37.89,2026.12E,2025.12,20260507,매수,False,True,True,True,True
086790,하나금융지주,KOSPI,금융,134000.0,367653.0,274367748.0,9.5,0.81,14110.0,164776.0,8.563140263145117,137700.0,80500.0,,,,,231461.0,60909.0,45146.0,3.1,13.8,53509.0,40029.0,224597.0,10.200000000000001,7.1000000000000005,True,60909.0,161053.0,20.188805970149254,15,20260713,BUY,11.06,71.4,202603,10.21,4.59,2026.12E,2025.12,20260426,매수,False,True,True,True,True
006400,삼성SDI,KOSPI,전기·전자,427500.0,344503.0,80585530.0,-51.35,1.57,-8325.0,272485.0,-3.055214048479733,723000.0,174600.0,539.6364554405453,792.2,-8796.0,109.00636653024102,157678.0,-1724.0,624.0,18.900000000000002,-90.0,-17224.0,-6495.0,132667.0,-574.1,-208.4,True,-1724.0,785182.0,83.66830409356724,21,20260709,BUY,0.0,12.58,202603,0.0,-32.28,2026.12E,2025.12,20260429,매수,False,True,True,True,True
066570,LG전자,KOSPI,전기·전자,185400.0,301988.0,162884638.0,34.84,1.4,5321.0,132659.0,4.01103581362742,438000.0,72000.0,27.023875462787508,6860.6,5330.0,28.71669793621014,942591.0,35625.0,12346.0,5.7,43.7,24784.0,9606.0,892009.0,-27.5,161.4,True,35625.0,211667.0,14.167745415318231,18,20260708,BUY,32.93,4.34,202603,-27.53,-10.35,2026.12E,2025.12,20260407,매수,False,True,True,True,True
267260,HD현대일렉트릭,KOSPI,전기·전자,797000.0,287296.0,36047135.0,39.21,14.14,20324.0,56366.0,36.05719760139091,1430000.0,433500.0,29.1899691985394,27303.9,20354.0,34.14513117814681,48728.0,12671.0,9827.0,19.400000000000002,27.3,9953.0,7326.0,40795.0,48.800000000000004,46.1,True,12671.0,1469333.0,84.35796737766624,12,20260710,매수,18.38,2.15,202603,48.78,99.31,2026.12E,2025.12,20260429,매수,False,True,True,True,True
