종목코드,종목명,시장구분,업종,현재가,시가총액,상장주식수,PER,PBR,EPS,BPS,ROE프록시,W52고가,W52저가,선행PER,선행EPS,직전EPS,선행EPS_증가율%,추정매출,추정영업이익,추정순이익,추정매출YoY,추정영업이익YoY,직전영업이익,직전순이익,직전매출,실현영업이익YoY,실현순이익YoY,순이익경로_우상향,연환산영업이익,컨센목표가,상승여력%,브로커수,브로커최근의견일,컨센투자의견,분기영업이익YoY,분기매출YoY,분기결산일,영업이익증가율_연간,영업이익증가율_3년평균,추정연도,실적연도,추정기준일,투자의견,추정이상,_price_ok,_est_ok,_opinion_ok,_growth_ok
105560,KB금융,KOSPI,금융,170100.0,603324.0,354687734.0,11.25,1.03,15116.0,164669.0,9.179627009333876,182700.0,105800.0,,,,,297666.0,91724.0,64301.0,2.1,7.7,85177.0,58332.0,291561.0,5.9,14.9,True,91724.0,208071.0,22.322751322751323,11,20260701,BUY,18.95,55.3,202603,5.87,17.53,2026.12E,2025.12,20260424,매수,False,True,True,True,True
000270,기아,KOSPI,운송장비·부품,152000.0,593428.0,390412998.0,7.95,0.97,19111.0,157456.0,12.13735900823087,212500.0,97400.0,7.3696255066617535,20625.2,19399.100000000002,6.320396307045165,1217389.0,95469.0,79908.0,6.7,5.2,90781.0,75610.0,1141409.0,-28.3,-22.6,True,95469.0,238750.0,57.07236842105263,10,20260618,BUY,-26.71,5.3,202603,-28.33,13.76,2026.12E,2025.12,20260622,매수,False,True,True,True,True
034020,두산에너빌리티,KOSPI,기계·장비,86200.0,552164.0,640561146.0,653.03,7.09,132.0,12156.0,1.085883514313919,139200.0,51100.0,651.5495086923657,132.3,174.0,-23.965517241379303,170579.0,7627.0,848.0,5.1000000000000005,-25.0,10176.0,1114.0,162331.0,-30.6,100.30000000000001,False,7627.0,145500.0,68.79350348027842,13,20260610,BUY,63.9,13.67,202603,-25.05,-7.68,2025.12E,2024.12,20260401,매수,False,True,True,True,True
055550,신한지주,KOSPI,금융,107300.0,509304.0,474654361.0,10.64,0.88,10085.0,121468.0,8.30259821516778,110800.0,61600.0,,,,,298881.0,76740.0,55456.0,6.800000000000001,9.3,70234.0,49716.0,279888.0,8.700000000000001,11.700000000000001,True,76740.0,129308.0,20.51071761416589,11,20260702,BUY,10.81,37.0,202603,8.74,5.97,2026.12E,2025.12,20260424,매수,False,True,True,True,True
034730,SK,KOSPI,금융,690000.0,500269.0,72502703.0,31.56,1.51,21863.0,457231.0,4.781609295957622,883000.0,176900.0,7.721670700959836,89358.90000000001,29000.0,208.1341379310345,1394536.0,74447.0,49080.0,13.700000000000001,309.40000000000003,18185.0,15975.0,1227033.0,-24.1,-223.60000000000002,False,74447.0,773533.0,12.106231884057971,11,20260630,BUY,1301.07,18.94,202603,-47.72,-48.73,2026.12E,2025.12,20260518,매수,True,True,True,True,True
012330,현대모비스,KOSPI,운송장비·부품,494000.0,448219.0,90732583.0,12.45,0.9,39682.0,551325.0,7.197569491679137,822000.0,279000.0,12.243512053911108,40347.9,40356.700000000004,-0.021805549016651285,620560.0,35266.0,36550.0,1.5,5.0,33575.0,36558.0,611181.0,9.200000000000001,-9.9,False,35266.0,820000.0,65.9919028340081,17,20260702,매수,3.34,5.48,202603,9.24,18.8,2026.12E,2025.12,20260622,매수,False,True,True,True,True
068270,셀트리온,KOSPI,제약,183600.0,426969.0,232553706.0,43.32,2.45,4238.0,74822.0,5.664109486514661,251000.0,158500.0,25.424432935441878,7221.400000000001,4668.0,54.700085689802926,52652.0,18171.0,15750.0,26.5,55.5,11685.0,10296.0,41625.0,137.5,143.6,True,18171.0,276000.0,50.326797385620914,5,20260527,BUY,115.41,36.0,202603,137.49,37.89,2026.12E,2025.12,20260507,매수,False,True,True,True,True
006400,삼성SDI,KOSPI,전기·전자,467500.0,376737.0,80585530.0,-56.16,1.72,-8325.0,272485.0,-3.055214048479733,723000.0,169700.0,590.1287553648068,792.2,-8796.0,109.00636653024102,157678.0,-1724.0,624.0,18.900000000000002,-90.0,-17224.0,-6495.0,132667.0,-574.1,-208.4,True,-1724.0,772706.0,65.28470588235294,21,20260630,BUY,0.0,12.58,202603,0.0,-32.28,2026.12E,2025.12,20260429,매수,False,True,True,True,True
086790,하나금융지주,KOSPI,금융,125600.0,344606.0,274367748.0,8.9,0.76,14110.0,164776.0,8.563140263145117,136000.0,80500.0,,,,,231461.0,60909.0,45146.0,3.1,13.8,53509.0,40029.0,224597.0,10.200000000000001,7.1000000000000005,True,60909.0,158200.0,25.955414012738853,12,20260610,Buy,11.06,71.4,202603,10.21,4.59,2026.12E,2025.12,20260426,매수,False,True,True,True,True
010120,LS ELECTRIC,KOSPI,전기·전자,229500.0,344250.0,150000000.0,120.09,16.49,1911.0,13920.0,13.728448275862068,907000.0,171200.0,66.70348195082252,3440.6000000000004,1929.4,78.32486783455998,65561.0,6975.0,5118.0,32.0,63.6,4264.0,2866.0,49658.0,9.4,20.1,True,6975.0,298722.0,30.162091503267973,12,20260703,매수,44.96,33.38,202603,9.42,34.21,2026.12E,2025.12,20260604,매수,False,True,True,True,True
